replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,b_a_2,b_a_3,g_a_1,b_cn_0,b_cn_1,b_cn_2,b_cn_3,g_cn_1,b_e_0,b_e_1,b_e_2,b_e_3,g_e_1,se_b_a_0,se_b_a_1,se_b_a_2,se_b_a_3,se_g_a_1,se_b_cn_0,se_b_cn_1,se_b_cn_2,se_b_cn_3,se_g_cn_1,se_b_e_0,se_b_e_1,se_b_e_2,se_b_e_3,se_g_e_1
384,202607584,TRUE,0,0,,250,30500,122,122,122,201890.93459983962,24,576.4443371295929,0.2844590163934426,2.0672068437325986,1.2167289772174248,0.2589337983328693,-0.3136917454595945,0.07669781851407619,0.05621022758254486,0.7599719710358431,-0.24091861927011618,0.3682075381774944,-0.02413066251483519,-0.008685480323709171,0.7734480353259862,-0.19162842680028647,0.16122312103096362,-0.02311012165134721,-0.06587092682585179,0.029988317759485753,0.04845738820529513,0.02708593559503775,0.0037962422079897136,0.027123566144869743,0.018753880779714613,0.007508962912587405,9.663279795230839e-4,3.2165578047109125e-4,0.0035739099332136094,0.03371601586344339,0.018987144487181428,0.010201719076066079,0.003727471714828743,0.039509195220728
385,202607585,TRUE,0,0,,250,30500,122,122,122,199805.58513548636,35,473.02989315986633,0.2836065573770492,2.0671345048455048,1.2296198480634857,-0.058752532947958784,-0.060936896131361655,0.03512056293984918,3.5113972651669255e-4,0.9313803106396572,-0.029373765725398678,0.21563074697835258,-0.002122067478008027,-2.112234724095282e-4,0.5232113947459308,0.008173466322015268,0.2256507561814509,-0.07247057023095316,-0.04780647619003112,0.034561370035562027,0.03129226445911366,0.028647110425796,0.0049452437272541954,0.02038526686789336,0.01798674820919649,0.014605563157100987,0.005427031860539954,6.681545287916145e-4,0.0032381399708355536,0.0616548701700066,0.025491705712474305,0.016501842968868658,0.00460045348589904,0.06140771560966047
386,202607586,TRUE,0,0,,250,30500,122,122,122,199950.8221069897,37,460.35039591789246,0.28314754098360656,2.067868484481187,1.2172815608718313,-0.13011570067179604,-0.013501131146501722,0.02873044998026832,0.01189539785587563,0.9378896660924478,-0.0483278573226195,0.22093198399661335,-0.002460914092683592,0.0032681638417965428,0.597820343150883,0.05401370910186426,0.19934860254816475,-0.08110219929952424,0.01210842848841355,0.02768006444895943,0.024301395308981073,0.016918133086823058,0.002890335467346491,0.018523578080859863,0.017467254463783707,0.013289941026943272,0.005038563959954667,6.410604489559788e-4,0.003458898540066371,0.04043736446035298,0.020598399510129883,0.01052217093628317,0.0031337401955386377,0.06151734194292122
387,202607587,TRUE,0,0,,250,30500,122,122,122,199970.13552098256,23,562.8054230213165,0.2837049180327869,2.0668443785009156,1.1250638803698616,0.4324310818105781,-0.4114192035590569,0.08774245621406035,0.13304254871862808,0.8047845673470483,-0.2405135371645465,0.348115441105884,-0.020344002099766414,0.004351311757791259,0.7868217092562713,-0.22072800675045062,0.14741549550742855,-0.01179093337426321,-0.09876410889523386,0.0333306670019655,0.05927693324585454,0.034290643746233085,0.004737608609390278,0.031111436366045294,0.017871482408336633,0.006717511422992096,0.00121747700154822,3.414537236339568e-4,0.00353247804182295,0.028992803846567435,0.014644402257667714,0.009151805344487264,0.0027311123531295694,0.03542086072077673
388,202607588,TRUE,0,0,,250,30500,122,122,122,199938.81286640576,59,854.268107175827,0.2797704918032787,2.0673117378433443,-0.03879005539079925,-0.14818926570953125,0.34592263981986465,-0.041877775284593494,-0.05324709169070568,1.0153057074643292,-0.05522773117665249,0.2069769302995354,1.5854449843950708e-4,-0.003871576494743767,1.1231572280884958,0.06245404180260463,0.03562511054852121,-0.041055787980050835,0.1311719458148095,0.05298982610887066,0.013947977314751173,0.0035345494852980766,8.28517649987805e-4,0.020112680061658172,0.016607368285910255,0.01166194436025853,0.004368010748467,5.698292425525876e-4,0.003354213616125541,0.016364574261197806,0.01736313094241,0.012653854758225011,0.005850633087478742,0.03577279334036616
389,202607589,TRUE,0,0,,250,30500,122,122,122,200369.81034254117,51,796.7356088161469,0.28632786885245903,2.0668573175175577,1.226213928800573,-0.11603360879000613,-0.020122529144519057,0.028985267199477846,-0.009779132698428143,0.9259166356968977,-0.007084633207176987,0.20542197942548482,-7.040856624448421e-4,0.0022560506197376712,0.5823523386684243,0.02498630543518418,0.21372201829124196,-0.07548554261413892,-0.029478945511291876,0.04705041548179188,0.02787156696458205,0.03330863981167516,0.00624323440615438,0.019584159317462844,0.019174878465910372,0.01648222685261985,0.005807754493979162,6.775491239851643e-4,0.003298636274313258,0.07650444256082342,0.027843478382515045,0.02176193880724863,0.005712420803384878,0.0645284706962962
390,202607590,TRUE,0,0,,250,30500,122,122,122,200094.73961920483,42,691.4216411113739,0.2821311475409836,2.0668369185400177,1.1769170344364352,-0.17814987921120165,0.040964252756797284,0.018482127159091487,-0.003633391304298959,0.8879898828825339,0.00488579354633006,0.20476743874768244,-8.907575874331215e-4,2.7594859750588584e-4,0.6749874237971998,0.07509957976191273,0.18007819609906506,-0.08624826709658591,0.12455645204571471,0.031028946917032754,0.025492558883393288,0.02133056312831878,0.0038095826287581143,0.017223682471646823,0.02126080544076468,0.019700226800939837,0.006928199895796137,7.94816242593175e-4,0.0032783128677822855,0.038288025435940454,0.021295971512097115,0.011030686162524858,0.0033458426632490463,0.05862588601563388
391,202607591,TRUE,0,0,,250,30500,122,122,122,200257.4853527645,70,731.338360786438,0.2840655737704918,2.0668883257613744,-13.294273441260561,11.091978580883389,-2.8172220664710017,0.2537469136847887,-0.0029584706977035793,1.1056790231070017,-0.10289806019525002,0.2158088610346001,-3.277549089898565e-4,-0.0010037128151309405,1.031094578093387,0.12026587111543431,0.15862230266217184,-0.08725678349341202,0.1281052613666096,1.7944693629328854,1.398594590670397,0.3616906859547196,0.031039936760082616,0.01935593868766135,0.014134807525758658,0.009504740885333285,0.003970214249806569,5.437403069836122e-4,0.003413712588927825,0.013289441049436896,0.012455366740750776,0.005541896810361957,0.001978514513891316,0.02623228490250188
392,202607592,TRUE,0,0,,250,30500,122,122,122,200113.24190469366,98,1292.778559923172,0.2860655737704918,2.0666807902880313,1.2043826346320416,-0.13788445410405198,-0.003404100902163229,0.02650143799398852,-0.0023614858995679396,0.9508942572050556,-0.01611523814351034,0.20453479233204122,-4.0894387618542e-4,-0.0013835211498449652,0.6080307514441762,0.03731724793159299,0.2095318641023864,-0.07722779659137075,-0.018264299645512225,0.028720298568693726,0.02335268379697544,0.017619589782646133,0.003112320756973139,0.019367053736453487,0.018274767369130314,0.015213712598780356,0.005574646553488767,6.740132086282828e-4,0.0033720576663976223,0.03828314321561355,0.017302373736077344,0.009387891417616433,0.00257211862097434,0.05473363400727675
393,202607593,FALSE,10,0,,250,30500,122,122,122,736881.8252141792,7,640.679016828537,0.2844590163934426,2.0667014652928324,4.713794694367711,2.5463421408799554,-2.669162049088948,0.6329270240586516,-0.617578047659995,1.6176277887095751,-2.491252010350664,-0.41884081179794064,0.5914212013496749,-860.5571678520921,-3.645467328658371,1.3766172364687645,3.365416868261768,-0.8612513211197598,-6.680294775214679,2192.606685964553,,,6275.076019636607,303.27386245520296,,,,,,266.5562023427612,402.00714205782407,696.3805423693328,1576.9441970433547,
394,202607594,TRUE,0,0,,250,30500,122,122,122,201057.98655251067,24,529.3148059844971,0.28124590163934426,2.067038392714994,1.0646110886582492,0.5635153320180976,-0.4640815818817586,0.09318468558723259,0.01705133534604138,0.8454046052600084,-0.26480908154217225,0.35258953587277314,-0.020345621229822513,-0.004437343775936015,0.787490151832752,-0.23771612981542603,0.1467610121278789,-0.009750173095729404,-0.014686364849620746,0.037573780820814924,0.06524647022804671,0.03625579414972183,0.004823007782673409,0.03300788967151747,0.01805305610037909,0.006762835599514857,0.0011344676118518163,3.236312560728259e-4,0.00342233794002852,0.029989299101915796,0.013554401363199015,0.0101754362715158,0.0027821759690875698,0.0304095703215642
