time,historical,component,n_replications,recovered_mean,recovered_median,recovered_lower,recovered_upper,event_experienced,population_variance,recovered_central
2.34,1,Additive genetic variance,1000,2.6799749609831527,2.6361283010918033,1.6204514643992083,3.8890927046402037,1,3.18730063013546,2.6799749609831527
2.34,1,Common environmental variance,1000,2.260356224400122,2.2548337310860633,1.7174858872350127,2.8686224292025924,0,2.25,2.260356224400122
2.34,1,Common environmental variance,1000,2.260356224400122,2.2548337310860633,1.7174858872350127,2.8686224292025924,1,2.25,2.260356224400122
2.34,1,Nonshared environmental variance,1000,4.006696471141787,3.9991223840926025,3.4208789205562184,4.609349167722155,0,4,4.006696471141787
2.34,1,Nonshared environmental variance,1000,4.006696471141787,3.9991223840926025,3.4208789205562184,4.609349167722155,1,4,4.006696471141787
2.34,1,Total phenotypic variance,1000,8.947027656525062,8.992564693227198,7.907475103145912,9.932052943837208,0,8.386511505121824,8.947027656525062
2.34,1,Total phenotypic variance,1000,8.947027656525062,8.992564693227198,7.907475103145912,9.932052943837208,1,9.43730063013546,8.947027656525062
2.3600000000000003,1,Additive genetic variance,1000,2.640667559872323,2.597572212648231,1.5938526660307157,3.831465006058673,0,2.1051239754902435,2.640667559872323
2.3600000000000003,1,Additive genetic variance,1000,2.640667559872323,2.597572212648231,1.5938526660307157,3.831465006058673,1,3.140475938233121,2.640667559872323
2.3600000000000003,1,Common environmental variance,1000,2.2602178225909517,2.256069920116353,1.716822886846365,2.874562010704541,0,2.25,2.2602178225909517
2.3600000000000003,1,Common environmental variance,1000,2.2602178225909517,2.256069920116353,1.716822886846365,2.874562010704541,1,2.25,2.2602178225909517
2.3600000000000003,1,Nonshared environmental variance,1000,4.006809920196676,3.998456241782068,3.4142624047201697,4.613710525046269,0,4,4.006809920196676
2.3600000000000003,1,Nonshared environmental variance,1000,4.006809920196676,3.998456241782068,3.4142624047201697,4.613710525046269,1,4,4.006809920196676
2.3600000000000003,1,Total phenotypic variance,1000,8.90769530265995,8.95745286157863,7.880804625460185,9.875466612209093,0,8.355123975490244,8.90769530265995
2.3600000000000003,1,Total phenotypic variance,1000,8.90769530265995,8.95745286157863,7.880804625460185,9.875466612209093,1,9.39047593823312,8.90769530265995
2.38,1,Additive genetic variance,1000,2.6015373817022374,2.561767517515957,1.563582270230739,3.772754377785018,0,2.0738657155696565,2.6015373817022374
2.38,1,Additive genetic variance,1000,2.6015373817022374,2.561767517515957,1.563582270230739,3.772754377785018,1,3.093844094078299,2.6015373817022374
2.38,1,Common environmental variance,1000,2.2600808140111104,2.256827739116906,1.7145486302443484,2.864943130903969,0,2.25,2.2600808140111104
2.38,1,Common environmental variance,1000,2.2600808140111104,2.256827739116906,1.7145486302443484,2.864943130903969,1,2.25,2.2600808140111104
2.38,1,Nonshared environmental variance,1000,4.006921082631433,3.9987824109942713,3.414727645834356,4.619570544788714,0,4,4.006921082631433
2.38,1,Nonshared environmental variance,1000,4.006921082631433,3.9987824109942713,3.414727645834356,4.619570544788714,1,4,4.006921082631433
2.38,1,Total phenotypic variance,1000,8.868539278344782,8.921641099958066,7.846810607071671,9.822529201710235,0,8.323865715569656,8.868539278344782
2.38,1,Total phenotypic variance,1000,8.868539278344782,8.921641099958066,7.846810607071671,9.822529201710235,1,9.3438440940783,8.868539278344782
2.4000000000000004,1,Additive genetic variance,1000,2.5625940870011497,2.525816290200062,1.5339008199791813,3.7134823737545735,0,2.042744733464751,2.5625940870011497
2.4000000000000004,1,Additive genetic variance,1000,2.5625940870011497,2.525816290200062,1.5339008199791813,3.7134823737545735,1,3.04741704435935,2.5625940870011497
2.4000000000000004,1,Common environmental variance,1000,2.259945272570192,2.257350429892565,1.7134547527776693,2.8602840598351382,0,2.25,2.259945272570192
2.4000000000000004,1,Common environmental variance,1000,2.259945272570192,2.257350429892565,1.7134547527776693,2.8602840598351382,1,2.25,2.259945272570192
2.4000000000000004,1,Nonshared environmental variance,1000,4.007029989477059,3.9973771062451027,3.4161887809720444,4.615447863546113,0,4,4.007029989477059
2.4000000000000004,1,Nonshared environmental variance,1000,4.007029989477059,3.9973771062451027,3.4161887809720444,4.615447863546113,1,4,4.007029989477059
2.4000000000000004,1,Total phenotypic variance,1000,8.8295693490484,8.888271557686096,7.81746349799282,9.760881840040987,0,8.292744733464751,8.8295693490484
2.4000000000000004,1,Total phenotypic variance,1000,8.8295693490484,8.888271557686096,7.81746349799282,9.760881840040987,1,9.29741704435935,8.8295693490484
2.42,1,Additive genetic variance,1000,2.523847094884037,2.491193175070305,1.505038661147161,3.658894028300543,0,2.0117688523500443,2.523847094884037
2.42,1,Additive genetic variance,1000,2.523847094884037,2.491193175070305,1.505038661147161,3.658894028300543,1,3.00120645988123,2.523847094884037
2.42,1,Common environmental variance,1000,2.259811273284549,2.2576889965488345,1.7123668127051457,2.8612575157774396,0,2.25,2.259811273284549
2.42,1,Common environmental variance,1000,2.259811273284549,2.2576889965488345,1.7123668127051457,2.8612575157774396,1,2.25,2.259811273284549
2.42,1,Nonshared environmental variance,1000,4.007136672332307,3.9994821474214843,3.4176781082342593,4.6205479565588785,0,4,4.007136672332307
2.42,1,Nonshared environmental variance,1000,4.007136672332307,3.9994821474214843,3.4176781082342593,4.6205479565588785,1,4,4.007136672332307
2.42,1,Total phenotypic variance,1000,8.790795040500893,8.859667950861136,7.788469243395252,9.704641103543869,0,8.261768852350045,8.790795040500893
2.42,1,Total phenotypic variance,1000,8.790795040500893,8.859667950861136,7.788469243395252,9.704641103543869,1,9.25120645988123,8.790795040500893
2.4400000000000004,1,Additive genetic variance,1000,2.4853055808411217,2.4584020656862133,1.4791432639551971,3.6046458874792227,0,1.980945708276266,2.4853055808411217
2.4400000000000004,1,Additive genetic variance,1000,2.4853055808411217,2.4584020656862133,1.4791432639551971,3.6046458874792227,1,2.955223732293013,2.4853055808411217
2.4400000000000004,1,Common environmental variance,1000,2.2596788922770705,2.2582708005841923,1.7136110298169307,2.8622518048156684,0,2.25,2.2596788922770705
2.4400000000000004,1,Common environmental variance,1000,2.2596788922770705,2.2582708005841923,1.7136110298169307,2.8622518048156684,1,2.25,2.2596788922770705
2.4400000000000004,1,Nonshared environmental variance,1000,4.00724116336365,3.9993425602130026,3.4191186491185617,4.626699496038914,0,4,4.00724116336365
2.4400000000000004,1,Nonshared environmental variance,1000,4.00724116336365,3.9993425602130026,3.4191186491185617,4.626699496038914,1,4,4.00724116336365
2.4400000000000004,1,Total phenotypic variance,1000,8.752225636481842,8.826252716868503,7.750216855072862,9.64181986001007,0,8.230945708276266,8.752225636481842
2.4400000000000004,1,Total phenotypic variance,1000,8.752225636481842,8.826252716868503,7.750216855072862,9.64181986001007,1,9.205223732293014,8.752225636481842
2.46,1,Additive genetic variance,1000,2.4469784747613073,2.4203315940753356,1.4534297998345773,3.5524027962375535,0,1.950282748158385,2.4469784747613073
2.46,1,Additive genetic variance,1000,2.4469784747613073,2.4203315940753356,1.4534297998345773,3.5524027962375535,1,2.9094799710863684,2.4469784747613073
2.46,1,Common environmental variance,1000,2.2595482067769637,2.2578135165586923,1.711409382960961,2.864260305614855,0,2.25,2.2595482067769637
2.46,1,Common environmental variance,1000,2.2595482067769637,2.2578135165586923,1.711409382960961,2.864260305614855,1,2.25,2.2595482067769637
2.46,1,Nonshared environmental variance,1000,4.007343495305224,4.000872067332807,3.420763579141487,4.632637055141096,0,4,4.007343495305224
