replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,b_a_2,g_a_1,b_cn_0,b_cn_1,b_cn_2,g_cn_1,b_e_0,b_e_1,b_e_2,g_e_1,se_b_a_0,se_b_a_1,se_b_a_2,se_g_a_1,se_b_cn_0,se_b_cn_1,se_b_cn_2,se_g_cn_1,se_b_e_0,se_b_e_1,se_b_e_2,se_g_e_1
277,1202878,TRUE,0,0,,150,11100,74,74,74,54073.01210381657,25,111.77403712272644,0.4981981981981982,2.066742219775233,0.6434287483365441,0.1689044317247001,-0.1158460601476684,0.29583471495778146,0.3825017113979028,0.041520440872494645,3.620069823891198e-4,-0.07139992992123997,0.7219784128247405,-0.02323411169453955,0.005823162664610842,-0.03988620152565811,0.05291475383383911,0.041826902550007726,0.014587038699832463,0.10661929911957996,0.0487048844971767,0.041302329798472814,0.008878261878530847,0.09724468432864755,0.02718726548404581,0.015282284031001698,0.0038556157179822216,0.0684849012591026
278,1202879,TRUE,0,0,,150,11100,74,74,74,53950.77277201967,26,93.7784059047699,0.5049549549549549,2.0680708131633763,0.7182928178702157,0.07202954895285885,-0.09923701216150334,0.1958510967373395,0.4121603471813211,-0.021389558963273696,-0.0019463145371537566,0.10324633664671168,0.6861999604651793,0.01718929021388998,-0.001460507400873913,-0.0066196596515246545,0.04732860382469589,0.033992871361496875,0.014014470998271586,0.11646545370532017,0.046932377139191316,0.03359303447160198,0.007910652074093189,0.09835292077327132,0.029235402075555722,0.023401910251605776,0.0049894581427868,0.059450761836984736
279,1202880,TRUE,0,0,,150,11100,74,74,74,53880.45549676991,24,81.42212104797363,0.5038738738738738,2.0677578095609834,0.691394244462554,0.09181475545610573,-0.07476053442962305,-0.04505273323941714,0.4346090046824232,0.015026949425907845,-0.012433221450944519,0.053422173331743456,0.6750834081940992,-0.010707596030312542,0.001513968355706954,0.061834248998866255,0.050373416376057634,0.03610733216829149,0.013096323647121617,0.1367586520580666,0.04871701091818329,0.04847000285907771,0.011227290150092864,0.1025254254721515,0.030435882822936033,0.01979865227052692,0.004143412833996391,0.06789207512331313
280,1202881,TRUE,0,0,,150,11100,74,74,74,53693.4619542386,27,82.59475994110107,0.5090990990990991,2.0669049263221497,0.694497271390881,0.07801214122245918,-0.08852037943325042,0.2978144463291164,0.34767724202496936,-0.03466278876175766,0.0020917611318891902,0.13504048152774636,0.6971376345830617,0.02527835669720533,0.0013842309695982493,-0.15293151620222534,0.04953001122407899,0.036247499063049235,0.012404616328983133,0.11151488063400618,0.0505091757093735,0.034073357610136835,0.00844138773326171,0.11688006465425872,0.028344925605779597,0.02323153659779217,0.005591168071353539,0.06945101003665706
281,1202882,TRUE,0,0,,150,11100,74,74,74,53852.52725626087,24,78.74514389038086,0.5004504504504504,2.0667466464590234,0.6593547751123282,0.1416439356358355,-0.13276141438716116,0.3697827392758636,0.43407792180928284,-0.025214998569445365,-0.012915388139540254,0.19422704873252164,0.715464625553306,0.007161253473316096,0.005538024303342469,-0.10704014978557175,0.05549970000883371,0.04603352220036975,0.017247747169016007,0.12235145543563125,0.04577031089607873,0.03149444484349692,0.007970661350767223,0.10418520796872037,0.027069630756801324,0.01563160105054053,0.003545208994997731,0.06255294412223084
282,1202883,TRUE,0,0,,150,11100,74,74,74,53591.15292315934,23,106.10033893585205,0.5085585585585586,2.0667968629913807,0.6835056518832909,0.09689758426220058,-0.09721647002635728,0.18812058102953508,0.34782254781058713,-0.02466412407109163,0.010550295719337653,0.007829772775330344,0.6844253714110731,0.007280117809544526,-3.9098265886218796e-4,-0.013277537682039577,0.04854276265712741,0.037684965099234254,0.014140226859162889,0.12737504060762675,0.047952825174899,0.026706672225324603,0.007362931718281374,0.11239155290597992,0.028393978226402033,0.02016399996925479,0.0048337778954597194,0.06741279416215637
283,1202884,TRUE,0,0,,150,11100,74,74,74,53732.30744656614,27,94.45084404945374,0.5027027027027027,2.067036881012321,0.674172689032203,0.076933232237712,-0.09388424864072291,0.22033529376031744,0.3590097403655155,0.12565353693202935,-0.013033005508182089,-0.21275803648362093,0.6955850526272689,-0.02194597544478364,-3.835339115954837e-4,0.08689656845956087,0.05361613609642252,0.043611097110820035,0.015727474681731253,0.12234301089587556,0.06581054888163605,0.06944144552115883,0.013444899826882312,0.09452581811631634,0.029201327473857983,0.015056693347107733,0.0035858708680543924,0.06358390054133775
284,1202885,TRUE,0,0,,150,11100,74,74,74,53929.0872593137,24,94.96498990058899,0.5092792792792793,2.0669121532834045,0.7458720773939757,0.04775800300869151,-0.06716177793079645,-0.019097226131738976,0.41954274182465223,-0.010418804963283757,0.0028899220352108772,0.021577695283184546,0.6513945733414379,0.016522677105181162,-0.005908635041691214,0.07096531282644285,0.043755781741410586,0.034772665357526066,0.012550480723916593,0.13206381822079216,0.04694606040228813,0.02551359760133383,0.006150610838860162,0.09979820963403123,0.03232441771839595,0.02287286909505279,0.00460707982099423,0.06798105911041488
285,1202886,TRUE,0,0,,150,11100,74,74,74,53854.63992790365,23,86.38845992088318,0.501981981981982,2.067673590432469,0.767818006965641,0.0804507543087597,-0.1105197268486393,0.23586748646076203,0.38878240619695703,-0.021976111076166045,0.0029829304373939604,0.07078753484178542,0.6731378416025345,0.023595084463711766,-7.233299224890151e-4,-0.04657196270957146,0.0442069447700386,0.03562342308119081,0.014679467945121052,0.11647377873942047,0.04804229478802917,0.02613579049446622,0.006227268948677046,0.10170117432075385,0.029923154693671204,0.01960912492705206,0.004264794459434716,0.06451908691682497
286,1202887,TRUE,0,0,,150,11100,74,74,74,53849.82581284109,24,95.25137686729431,0.5066666666666667,2.06676430106257,0.719796717061549,0.13473922505983102,-0.1074324387206495,0.17838105542674612,0.4016995499448553,-0.0181800140177131,-0.0018378752046897978,-0.018858756573315913,0.6878701292476015,-0.012435768126975997,0.005260650764937382,-0.012312111184806613,0.04725344935072869,0.035806998811301075,0.01378997243097398,0.11127677606253188,0.050371867671699135,0.03998511599224653,0.010341790626368308,0.1196055926317557,0.02911053962655657,0.02119856455895762,0.004522027335800856,0.06672622780424382
