replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,b_a_2,g_a_1,b_cn_0,b_cn_1,b_cn_2,g_cn_1,b_e_0,b_e_1,b_e_2,g_e_1,se_b_a_0,se_b_a_1,se_b_a_2,se_g_a_1,se_b_cn_0,se_b_cn_1,se_b_cn_2,se_g_cn_1,se_b_e_0,se_b_e_1,se_b_e_2,se_g_e_1
11,11202612,TRUE,0,0,,250,30500,122,122,122,178035.70644677113,35,562.3472039699554,0.28127868852459015,2.0667513150223384,1.1451690971433097,0.11501393762213621,-0.10771024274536106,0.14405447381000297,0.8752716946228842,-0.02274003633918197,0.014831238108759193,-0.005520183359239185,0.6507623974914168,-0.09981143735561726,0.10012963912229458,0.04657987896326526,0.022084851880421814,0.023176997894388887,0.01004897207572137,0.04592674516496615,0.024298090332018577,0.019261471010768094,0.00567401953316776,0.03380536566074346,0.01978517031005419,0.005740700800777159,0.0017603544565049584,0.015326387895920815
12,11202613,TRUE,0,0,,250,30500,122,122,122,178216.92717969077,36,568.8875000476837,0.2877377049180328,2.06684873350661,1.120591534282659,0.046372568112000793,-0.08569888560775332,0.09943457645891535,0.8757234431729426,0.004523474221548569,0.002041544037609011,0.023222449485598592,0.686895141597373,-0.08994602002047239,0.09941970957768267,-0.012784411379002387,0.02312766104528958,0.02224649447892913,0.009375195985708521,0.05359011134993663,0.026009234294079805,0.021702211914995287,0.006419326005595652,0.034801248508182066,0.0185687567528243,0.005878594546169143,0.0017682540691044287,0.014940829254436436
13,11202614,TRUE,0,0,,250,30500,122,122,122,178684.77028425064,39,589.6800220012665,0.28390163934426227,2.066961863140144,1.0818028768596928,0.08078772105526551,-0.0958080560902768,0.20132731009357344,0.9076727847318861,0.003208480002949269,0.005085085947534636,-5.468463129015243e-4,0.7144712058544859,-0.09862416767486497,0.09953448441929126,-0.013843819262309374,0.025156843447554582,0.025605981347917348,0.01126619952554947,0.05051861657129663,0.024482890661580888,0.01977650955508017,0.006024086450221957,0.03384162771675298,0.018463445284077593,0.0054326881466157505,0.001707315767218695,0.015183986040499007
14,11202615,TRUE,0,0,,250,30500,122,122,122,178795.43199610087,36,566.5238649845123,0.28147540983606556,2.0672789997601586,1.0876358823904306,0.14734560695109433,-0.11789906824371273,0.2663477173015598,0.9331140334435488,0.007702542694897178,-0.006495284696169556,0.054506752701360704,0.702974317371133,-0.09687033977063585,0.09937670427693766,-0.026300347108483217,0.02517527264212366,0.027504936447231253,0.011488669063931693,0.0481625522998339,0.024654110401827384,0.020660311005929955,0.00639239026972376,0.036605149830708554,0.018423385833118783,0.005386334325618385,0.0017497294241959592,0.015393217772239634
15,11202616,TRUE,0,0,,250,30500,122,122,122,178131.74924021584,38,585.5357258319855,0.2821639344262295,2.06705620966477,1.0965303260974417,0.09530010816523789,-0.10244922656020408,0.23811681174591476,0.9265381460307857,-0.019444301062090042,0.004471821893981458,-0.005855256803462024,0.6850221885394598,-0.0895905120016241,0.09773131137443801,0.005216819787749429,0.02386720213122642,0.023163156654499452,0.009923400048049272,0.048209152661238944,0.02370855863809306,0.01833220416465267,0.005793795305229755,0.0366423489514864,0.018522314766418937,0.005457525211608959,0.0016852608815641106,0.015281689210032343
16,11202617,TRUE,0,0,,250,30500,122,122,122,178388.38275407243,36,355.594603061676,0.2822295081967213,2.0668770784273724,1.0858432843840649,0.024018636480480093,-0.0744990486050211,0.2043115010333434,0.8896822751505588,0.04077813089510378,-0.007634173637703493,-0.01850367761198715,0.7205351267977277,-0.09963550331847836,0.09783934448704514,0.007740481548277906,0.024645358894162122,0.022046989136967284,0.009865532615038367,0.054988929422848686,0.02564506358800008,0.02220812317400237,0.00661910565023729,0.035783220173585144,0.018301697770124636,0.005310565812247656,0.0016748662139459381,0.01557078227168308
17,11202618,TRUE,0,0,,250,30500,122,122,122,178230.44763701834,36,567.7549440860748,0.2795409836065574,2.0668170327432867,1.0859917486813253,0.09171952385782776,-0.09563343760192894,0.20818156720327635,0.9454947988263066,0.0020010573658474583,-0.004664568532810728,0.0055891344308553635,0.7109010137037503,-0.09758483605791654,0.09682942793740856,-0.0034117436963706457,0.025328251813907698,0.024617996906735308,0.010259517618425546,0.05091262361769175,0.024510975381719324,0.01999153438607259,0.006163315629876494,0.03636211417868594,0.018512513612282767,0.005426134005943591,0.0017141513271960625,0.015443208692249655
18,11202619,TRUE,0,0,,250,30500,122,122,122,178241.30366255096,37,573.7836849689484,0.28681967213114756,2.066695346491421,1.0838853285123262,0.10987022141144194,-0.10503570205240606,0.19727054159896407,0.885124867095216,0.003092417856335714,0.0048965373305901935,-0.006403598794673921,0.7033087756492152,-0.10479077830276619,0.10150325632070811,-0.02448925036638445,0.024404787101704198,0.025742152098183705,0.011463583673163899,0.05005731364082706,0.025457138512028736,0.021183663011944475,0.006255361007231481,0.0349994158024353,0.0184104606437155,0.005387030079822357,0.0017313668360222202,0.015267203298940973
19,11202620,TRUE,0,0,,250,30500,122,122,122,178591.68319342087,40,598.4079029560089,0.28498360655737703,2.0669280419978047,1.0966434526662843,0.1359627011297064,-0.11214299483317373,0.22398125598712337,0.9024608841793489,-0.017492808297210904,0.009431602831395488,-0.035020903211463936,0.683266997780982,-0.10879623217115846,0.1035204956646218,-2.064163486652303e-4,0.024316801789964426,0.026543333808229357,0.011197498821874,0.04678661092501104,0.02455006724475968,0.019186334960098268,0.005865283293199714,0.03572294200454147,0.018545121373803,0.0054721719329778986,0.0017179369962534606,0.01551199137288898
20,11202621,TRUE,0,0,,250,30500,122,122,122,178467.72188420346,37,570.9994249343872,0.28504918032786886,2.0668871755272904,1.1046934994300037,0.08196180361544671,-0.09770488419030376,0.20460753961868516,0.921132393718107,5.990613706707252e-4,-8.177525370022248e-4,-0.03876324308223888,0.7005541555609661,-0.10226201083207007,0.10002889200224359,0.005247140515366628,0.024071718388410684,0.023794839122370723,0.010343758516469414,0.049501833783341664,0.024827240318625134,0.020552034190603027,0.006333739983167511,0.0371010163353515,0.01849549322596964,0.005224916512116994,0.0016415323594617236,0.01520214368327452
