parameter,true_value,n_requested,n_success,success_rate,mean_estimate,median_estimate,empirical_sd,mcse_mean,bias,relative_bias,rmse,mean_estimated_se,se_bias,se_relative_bias,se_rmse,mc_lower,mc_upper,mc_q25,mc_q75,empirical_interval_excludes_zero
b_e_0,0.6931471805599453,100,100,1,0.6961936734930273,0.6914992406805509,0.03771271859066472,0.0037712718590664717,0.0030464929330820023,0.0043951602466606775,0.03764714824863897,0.03873204432536477,0.0010193257347000523,0.027028699409444665,0.0034885855290730967,0.614529760362531,0.7667175806376993,0.67130026235718665,0.7221767996455596,TRUE
b_e_1,0,100,100,1,0.0023554933303703844,0.002522929767518188,0.02817313009771052,0.002817313009771052,0.0023554933303703844,,0.02813070130190352,0.02374332694209779,-0.0044298031556127306,-0.1572350370814039,0.005139482062503453,-0.04963942382535405,0.0505046967086661,-0.017679256431868233,0.022476937147198072,FALSE
b_e_2,0,100,100,1,-0.0020870676745038262,-7.378313546974632e-4,0.009934635249865383,9.934635249865382e-4,-0.0020870676745038262,,0.010102764930965579,0.009707529787785859,-2.2710546207952396e-4,-0.02285996982955175,0.002474492775061848,-0.02216737207868561,0.015622744049630436,-0.007135295338516272,0.004214253132269747,FALSE
b_e_3,0,100,100,1,3.124870757342213e-4,6.443558214670159e-5,0.0020837692225769244,2.0837692225769244e-4,3.124870757342213e-4,,0.002096740662010964,0.0021469746534749355,6.320543089801105e-5,0.030332260508122447,4.223032057843346e-4,-0.0035359013471062415,0.0041359058222916485,-0.001024676866080748,0.001549234380433362,FALSE
g_e_1,0,100,100,1,-0.0026356677734049585,-0.008670831143219423,0.04452264686568351,0.004452264686568351,-0.0026356677734049585,,0.04437781165964428,0.043709621858378706,-8.130250073048045e-4,-0.01826093156046065,0.00355008236208022,-0.08237348599129032,0.09205674395210225,-0.028266688742212845,0.029212881717151404,FALSE
mean_y,2,100,100,1,1.989641398530498,1.9875994524199787,0.05953072032448576,0.005953072032448576,-0.010358601469502023,-0.005179300734751011,0.06013125826167776,0.062455889553078285,0.002925169228592525,0.04913713814729981,0.0030355147876298194,1.874356248066134,2.087676352268978,1.947965869701007,2.0325186185396507,TRUE
b_mean_1,0,100,100,1,-8.738976263974422e-4,0.0016588761648309916,0.02829858188828443,0.0028298581888284427,-8.738976263974422e-4,,0.02817029173758204,0.026849078643104134,-0.001449503245180294,-0.05122176266296886,0.0014752707311341462,-0.05269021081627208,0.05488464936065175,-0.01921748777810597,0.015554891124195764,FALSE
b_mean_2,0,100,100,1,-9.24580763849583e-5,-2.856439188459962e-4,0.00848912511263586,8.489125112635861e-4,-9.24580763849583e-5,,0.008447078857338421,0.008836554473188318,3.474293605524575e-4,0.040926403597859234,4.7771999614553925e-4,-0.016171833368636493,0.01495635048680679,-0.005265336476024845,0.005026493367314507,FALSE
b_mean_3,0,100,100,1,-2.653995122128539e-5,1.1384284920864694e-4,0.00214923432089927,2.1492343208992702e-4,-2.653995122128539e-5,,0.0021386258329780037,0.0022309437286210515,8.170940772178137e-5,0.03801791499755736,9.788370454448686e-5,-0.004552999153759596,0.003545230414647384,-0.0016003674681484767,0.0015106794346683285,FALSE
g_mean_1,0,100,100,1,0.004419715522443303,0.005300752589096127,0.047565520582918186,0.004756552058291818,0.004419715522443303,,0.047533018483366905,0.04658745607976056,-9.780645031576274e-4,-0.02056246817382404,0.0010269542021878754,-0.0897836532787751,0.0988386088255316,-0.022734980375494547,0.03793244094002336,FALSE
