replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,b_a_2,b_a_3,g_a_1,b_cn_0,b_cn_1,b_cn_2,b_cn_3,g_cn_1,b_e_0,b_e_1,b_e_2,b_e_3,g_e_1,se_b_a_0,se_b_a_1,se_b_a_2,se_b_a_3,se_g_a_1,se_b_cn_0,se_b_cn_1,se_b_cn_2,se_b_cn_3,se_g_cn_1,se_b_e_0,se_b_e_1,se_b_e_2,se_b_e_3,se_g_e_1
11,202607211,TRUE,0,0,,250,30500,122,122,122,221205.45622529899,145,1497.280954837799,0.2836065573770492,2.0669027562258178,1.0833257056283951,0.11081623861560067,0.09917029068130663,-4.628548342292765e-6,0.18981939178539683,0.9298843642565536,-0.0038980709313122535,0.1961864684447822,6.824584585501259e-4,0.0049393720860556505,0.6948990869023911,-0.1085344694423669,0.0987185254243372,0.001718438261086,0.029240497085203498,0.027309707333229728,0.021235148007101048,0.011158119994388285,0.0019242329325012974,0.022392792870387403,0.019038881199468803,0.007832346804308258,0.0023429902919589736,4.863326243872663e-4,0.008890897113109482,0.03826494404694953,0.029562192641140614,0.013783474255819196,0.004747859013862464,0.12867664471422877
12,202607212,TRUE,0,0,,250,30500,122,122,122,221569.5230057274,131,1389.5563468933105,0.2837704918032787,2.066873910102125,1.103428725441733,0.12874700712955,0.08254346783589533,0.0024113886933892514,0.20921430894063925,0.921858397541941,0.009364187234081155,0.19638209481792288,2.6934555143808523e-4,0.0034562645975351925,0.693568827388594,-0.1170510591112144,0.10705285183984789,-1.8704316797149166e-4,-0.019242063604604728,0.02737883221803346,0.023081507920544538,0.011640951976886698,0.0018996064539154398,0.023324767046368364,0.018937462233143867,0.007914630316437212,0.0025555913096109075,4.884979275875134e-4,0.008504639037424148,0.04021592430635592,0.030469823205266814,0.014428687538437531,0.0052268304955641635,0.142205284131811
13,202607213,TRUE,0,0,,250,30500,122,122,122,220896.53444286872,138,1448.1270668506622,0.2832131147540984,2.067043878474836,1.0295748974400742,0.11742482219182823,0.12005553250532931,-0.007768801817767591,0.19231876579014578,0.9393310477370039,-0.013716979544767695,0.1980075471731728,6.084964446445009e-4,0.018290675521241088,0.7711780934736113,-0.14770094843476206,0.08397633099708646,0.01333127318721782,0.07529308669465545,0.030160877522380742,0.01883017482638177,0.009996218109600693,0.002156893527411913,0.022941468613684256,0.0186888710109621,0.0076982596495156165,0.0023671896377984013,4.941362826141251e-4,0.008667331145768365,0.035704217251946724,0.02433464516119698,0.014866051216240586,0.003315153578589546,0.07888603438056038
14,202607214,TRUE,0,0,,250,30500,122,122,122,221440.7530558646,116,1275.2503278255463,0.28747540983606557,2.067514837166891,1.119802649365692,0.0946364521488695,0.10718406811156052,-0.0019178246711157262,0.25760636146624655,0.9197480847839685,0.005545801913302663,0.19524962088334324,6.422211988215979e-4,4.249206060082989e-4,0.6634493484046579,-0.13941680733341996,0.09204977560494444,0.007488076071252231,-4.982508412326827,0.02548375786929566,0.01800332187532665,0.00955321765011773,0.0017526503664747346,0.019992926247755886,0.018666849482753434,0.007514974425600081,0.002184983202779673,4.7007001991888377e-4,0.008673057583626489,0.041900085568860795,0.03237947864932489,0.01462923598876244,0.0051076360671173555,7.667365575755269
15,202607215,TRUE,0,0,,250,30500,122,122,122,221922.8596123611,168,1657.4709758758545,0.28465573770491803,2.0669150137959,1.0574937478609863,0.11217518120886985,0.12195370985812422,-0.004389338710711576,0.18245984319622835,0.9036099117705155,0.004512005397104331,0.20278029617924828,-4.4994701515021704e-4,0.00321313539680212,0.8089694033550757,-0.09975240470587644,0.04932282354389369,-0.010634008574033819,0.144098328267649,0.029033461737025822,0.01955319725253969,0.009936430272123027,0.0019173597289448042,0.016147943325344735,0.019387251254491127,0.008008640632503514,0.002241773472344707,4.775664142984499e-4,0.008412286802583392,0.03664775155240048,0.0338061032454403,0.0192836947036034,0.010136921850092597,0.18857054522245897
16,202607216,TRUE,0,0,,250,30500,122,122,122,221293.72647688357,136,1011.6802310943604,0.28475409836065574,2.0668170118321694,1.0779318294994211,0.11763875179459476,0.08264060640532897,0.002854668629080882,0.22464757627210136,0.9268148222394198,-0.0035532061332359433,0.20162823569940289,-2.2557066756726763e-4,-0.0016388114139457403,0.6524938235155674,-0.07611079060284326,0.1220119600535734,-0.001662814939999662,-0.12351337403809816,0.02734000312495652,0.02224801967013985,0.010485402393149892,0.001762163782561622,0.024887351047371324,0.018407186581521504,0.007472123709531531,0.0022665117191680694,4.6854854467840497e-4,0.008436174212995268,0.03884392579818703,0.026866782006562628,0.011618445905879644,0.0038069957131156265,0.12300391419725146
17,202607217,TRUE,0,0,,250,30500,122,122,122,221395.4687094141,114,1253.578015089035,0.2835409836065574,2.0666996454040905,1.0916164972108886,0.11095346807691504,0.09574276883855987,-5.073220293438037e-4,0.2026072928089081,0.9065121199724977,0.011386434780203757,0.19936527754391056,-1.5113051211698892e-4,0.009839416101897773,0.7017249874285522,-0.12027112512976734,0.10467453171780824,0.0035263614789227344,-0.0315225038734642,0.027967952919805233,0.019637081977811662,0.009754068146492767,0.00201472884081742,0.02392245971020315,0.019027605906874114,0.007472854317589023,0.002295176550260578,4.494982803604823e-4,0.00834008863077414,0.04003351390177362,0.02846778799633739,0.01435131105686869,0.005684926436828496,0.15298433231696085
18,202607218,TRUE,0,0,,250,30500,122,122,122,221221.91754438236,143,1483.5700469017029,0.2839344262295082,2.0677326439157846,1.0593848112167064,0.10384585603312271,0.10902235653167723,-0.002614861744102181,0.18377431385235168,0.9285701225737256,-0.0025538584378731605,0.20048312035865468,-2.646876124964685e-4,-0.003960074096945557,0.7208146237696007,-0.08807298487474946,0.09999879395984501,0.0011735776190383111,0.06370448021227405,0.029066007989730885,0.01973382070103624,0.010374728809976953,0.0019026386696347581,0.025092814076090996,0.018632122682146576,0.007493084293450067,0.002092689268502208,4.5180050541657706e-4,0.008427925974775938,0.03807378615087837,0.02723471705843441,0.013863209631694042,0.004981851404529061,0.10064605447739877
19,202607219,TRUE,0,0,,250,30500,122,122,122,221121.75428871857,168,1658.798357963562,0.28708196721311474,2.0666690455928194,1.115634019225104,0.10212376789271692,0.10198225622527507,-6.90361893846643e-4,0.18465663196487864,0.930733645902548,-0.005754940783149916,0.1990962792327605,4.0323694488097605e-4,-0.007769569371800354,0.6215929551257425,-0.07708848511052548,0.09938433307273742,-0.0031251012749557647,-0.025410812856298707,0.027276199439037908,0.01869634315072172,0.012297167264572632,0.0018317167567480997,0.03182191689342716,0.019048865142697307,0.007753350710168939,0.0024020031451135486,5.136500459434369e-4,0.00827233549652911,0.04597629642773396,0.04184404724377768,0.018826608439062153,0.010535794082028191,0.19300638335375503
20,202607220,TRUE,0,0,,250,30500,122,122,122,220935.2800003409,159,1592.934602022171,0.28760655737704915,2.0667515099584004,1.1020795121302263,0.10503785119306051,0.09744316591649786,2.693795867273292e-4,0.19769174308903736,0.9137668849141092,0.0037501887866995946,0.20097332292459485,-4.6625598228352064e-4,0.008482647135291205,0.7000180696614601,-0.1468932950577422,0.09942111688800262,0.0015959638679942493,-0.01672207225154854,0.02828944713997134,0.020719279279571942,0.009734169336500408,0.0017018281600988017,0.023829565441516553,0.019361488109487682,0.00791485612191125,0.002181762453323045,4.7340586459256414e-4,0.00841644531163015,0.04037682847628417,0.0300815611019846,0.013587103750374491,0.004432527769378104,0.16388318718377728
