parameter,true_value,n_requested,n_success,success_rate,mean_estimate,median_estimate,empirical_sd,mcse_mean,bias,relative_bias,rmse,mean_estimated_se,se_bias,se_relative_bias,se_rmse,mc_lower,mc_upper,mc_q25,mc_q75,empirical_interval_excludes_zero
b_e_0,0.6931471805599453,100,100,1,0.6943591999747911,0.6930445578151603,0.02920956592477906,0.002920956592477906,0.0012120194148458297,0.001748574399259222,0.029088412558282328,0.03376009712596552,0.00455053120118646,0.15578907310382703,0.005035104984824664,0.6383950570077175,0.7579261679370111,0.6790453491989398,0.7095929791931008,TRUE
b_e_1,0.1,100,100,1,0.10289054415340713,0.1028020838704479,0.017150970275370946,0.0017150970275370946,0.0028905441534071317,0.028905441534071315,0.017308075256237686,0.016864538540689946,-2.8643173468100025e-4,-0.016700614022538456,0.00245698411810742,0.06975808826743228,0.12923945171423776,0.09073146260672518,0.116282186173961,TRUE
b_e_2,0,100,100,1,-0.0012937500585738903,-0.0016132957086715128,0.00911960334526905,9.11960334526905e-4,-0.0012937500585738903,,0.009165657790761773,0.008793298232527745,-3.2630511274130483e-4,-0.035780625580670807,0.0021908944597282994,-0.02089630577872631,0.014781564120183263,-0.0061192514684208195,0.005074433614708267,FALSE
b_e_3,0,100,100,1,1.2714657875283005e-4,1.0666101102897689e-4,0.0015497962544287415,1.5497962544287416e-4,1.2714657875283005e-4,,0.0015472608049154134,0.0015272858757021395,-2.2510378726602054e-5,-0.014524734243146969,3.1691958305089053e-4,-0.0024373163824159085,0.0034633394929131475,-9.91946347806851e-4,0.0010862125398744646,FALSE
g_e_1,0.5,100,100,1,0.4986540954096831,0.49858479944497,0.016469937280430377,0.0016469937280430378,-0.001345904590316911,-0.002691809180633822,0.016442557734346972,0.017553765600635374,0.0010838283202049964,0.06580646311827817,0.0011649104643508307,0.4686684398525175,0.5339772022804398,0.48851612712875364,0.5067809232545002,TRUE
mean_y,2,100,100,1,1.9936604547234076,1.9932931638592475,0.05829843088556607,0.005829843088556607,-0.006339545276592504,-0.003169772638296252,0.058351605013023417,0.06149076556038211,0.0031923346748160414,0.054758500809091615,0.0032810082242142147,1.8806642968107639,2.0960818057897264,1.9487664682877517,2.034121014192759,TRUE
b_mean_1,0.5,100,100,1,0.4987343112642127,0.499901118364238,0.02893813177349665,0.002893813177349665,-0.0012656887357873087,-0.0025313774715746175,0.028820882772926177,0.02711632512003408,-0.001821806653462571,-0.06295522695529002,0.0018380638305921355,0.4447478828390571,0.5563744271669162,0.47857557401413425,0.5156114191296838,TRUE
b_mean_2,0,100,100,1,-9.889211124035893e-5,2.9670338289528096e-4,0.006742818764784499,6.742818764784499e-4,-9.889211124035893e-5,,0.006709748765449287,0.007461832838712698,7.190140739281991e-4,0.1066340500924288,7.845395456136956e-4,-0.012936994670758156,0.010972160615357761,-0.005235975945003608,0.004526806880960948,FALSE
b_mean_3,0,100,100,1,-7.867204907265337e-6,-1.1642313409679657e-4,0.0021134969970082297,2.1134969970082297e-4,-7.867204907265337e-6,,0.0021029176763992046,0.002181484726642457,6.798772963422742e-5,0.0321683587582418,9.190477671414391e-5,-0.004002820783448798,0.003660568632735322,-0.001440779955578197,0.0015233888069154013,FALSE
g_mean_1,0,100,100,1,0.003993845824705844,0.005936632029319209,0.06922618509009566,0.0069226185090095664,0.003993845824705844,,0.06899487560376076,0.0665384927908264,-0.0026876922992692676,-0.03882479289839996,0.0027486982580939836,-0.12613689013576787,0.12921289154925414,-0.03698693764138048,0.04477509060974319,FALSE
