replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,b_a_2,g_a_1,b_cn_0,b_cn_1,b_cn_2,g_cn_1,b_e_0,b_e_1,b_e_2,g_e_1,mean_y,b_mean_1,b_mean_2,g_mean_1,se_b_a_0,se_b_a_1,se_b_a_2,se_g_a_1,se_b_cn_0,se_b_cn_1,se_b_cn_2,se_g_cn_1,se_b_e_0,se_b_e_1,se_b_e_2,se_g_e_1,se_mean_y,se_b_mean_1,se_b_mean_2,se_g_mean_1
11,202607212,TRUE,0,0,,250,30500,122,122,122,221568.62705301234,112,1284.6166808605194,0.2837704918032787,2.066873910102125,1.094303661100424,0.11743183991604086,0.09613127954893627,0.20511114377737816,0.9148457497504132,0.011146462590692331,0.19761139093630337,0.003186374019640935,0.7077107695060555,-0.10970137042975797,0.0979848694222861,-0.028433685911590536,10.05517811829477,0.4530816731330348,0.03866634688187886,0.3847257759049271,0.025078596708568306,0.01899975874323398,0.0035905596604694384,0.02267175900573622,0.013842473717548565,0.006260515201656556,0.001219206577639338,0.008447241450028101,0.03672900133502376,0.022232897886824653,0.012831330292149775,0.14999300068306476,0.06294803042796789,0.048199605407825745,0.02591252651708481,0.13412746334893919
12,202607213,TRUE,0,0,,250,30500,122,122,122,221206.70454419949,95,1147.1684498786926,0.2832131147540984,2.067043878474836,1.3817518403351607,0.008206798343315884,0.11212191316713462,0.16444081512521916,0.9584464735327974,-0.00832655856002614,0.19827913294707356,0.019303455429764062,-55.236955506432054,20.074478518281886,-1.6502805866629118,-0.11095036368312786,10.020498984817063,0.4872898505761919,-0.0131222101572907,0.19420460329312228,0.008732242019649764,0.006796159739819871,0.002013596610060658,0.010905648717223075,0.012410983054159087,0.0058991512186405614,0.001214943040797399,0.008476561496598799,89.09480362474649,34.4939055050562,3.3308492855679375,0.6601079474869466,0.0691400828804518,0.04736430311894596,0.026031652788475215,0.1339865630646048
13,202607214,TRUE,0,0,,250,30500,122,122,122,221672.94928349968,2,303.4205090999603,0.28747540983606557,2.067514837166891,1.3733579093254171,0.008169706865794909,0.11346116889389614,0.1686323504809272,0.9361115991062368,0.013524675592638858,0.19551668691515936,0.0046766991591014875,-24.382439635955773,0.12556089019592853,0.6699406024583656,4.3110048735283435,10.002308190409902,0.5512299030021307,-0.0055535710535094904,0.31034944249059776,0.008554047626874324,0.006453176921164596,0.0018569380206823758,0.010687501490582223,0.01237787854420121,0.005793144435198066,0.0011384249725297732,0.008288429167513349,22.31528700104599,0.8610015043316512,0.6246056359753872,4.936431451774814,0.06824076817480804,0.04625761621404703,0.025497726042934838,0.1319069743602028
14,202607215,TRUE,0,0,,250,30500,122,122,122,221920.33045852245,68,928.4541380405426,0.28465573770491803,2.0669150137959,1.0778734752959849,0.12539131721209268,0.09824544860253245,0.1888369513226644,0.9227779010585625,-0.003708736201010883,0.201569344830773,0.004522276706239479,0.7680058598239219,-0.1402212057102269,0.07625085264430298,0.10798332860278127,10.036127444776538,0.6002669343923344,-0.07447201246264486,0.3572962168492327,0.027103826856136336,0.021550930108438525,0.0041625761179473015,0.0202412942179467,0.013807881848495214,0.006021345231702728,0.0011915232667694309,0.008416174506952992,0.03518925890827201,0.023525318285770022,0.014334906173152166,0.16132916161775746,0.06307028969813089,0.049518300400772895,0.026399015073116313,0.13471556286922
15,202607216,TRUE,0,0,,250,30500,122,122,122,221578.99853862604,31,449.0123128890991,0.28475409836065574,2.0668170118321694,1.3515162136971859,0.024549932926065908,0.1112818306125602,0.15445745409213713,0.9687985999121513,-0.008377258554810679,0.19955518357454205,0.0026767598502444485,-22.63261718898427,-0.9148497437239542,1.0034584662244554,-8.931092710993713,10.062177219979471,0.54053976998187,-0.017662260258951828,0.4582655207748392,0.00865980023716389,0.006591200775461386,0.001878100307549269,0.01075583914618366,0.011976272049423173,0.0054515066011200375,0.0010989243148227749,0.00811355718752622,10.57507268659641,0.40887311825905787,0.36259298800370515,25.396681951434054,0.06766475563339473,0.04676172353582351,0.025765924111959475,0.1293216037989482
16,202607217,TRUE,0,0,,250,30500,122,122,122,221392.54982343616,107,890.3745641708374,0.2835409836065574,2.0666996454040905,1.093616435113528,0.11070392313595483,0.09562126505496467,0.2052158668602212,0.9066345154565596,0.012173971721603482,0.19848667055450056,0.009195829960625325,0.6947149780953608,-0.11009205403894318,0.10778042005398918,-0.08138799167880106,9.99600669378471,0.5857807036611796,-0.03141270632962318,0.29412676025367723,0.025097408179173383,0.019141065730559983,0.0036062027547704577,0.023306304919727985,0.014044049150470132,0.006648744532920692,0.0012567202890954186,0.008244748950050299,0.03720919768446677,0.02136535735608379,0.012732271027291873,0.1502318219405617,0.06319396698781848,0.04786845714945155,0.025540181566804643,0.13502870664322963
17,202607218,TRUE,0,0,,250,30500,122,122,122,221513.79948208336,18,434.70089292526245,0.2839344262295082,2.0677326439157846,1.373829756998755,0.016884923350501912,0.11059264450568757,0.15833247093765276,0.9727137229450976,-0.005218048194254349,0.1976362671577517,-9.162576954522662e-5,-1054.1468734085556,229.6336924162052,-21.83349081976268,455.24109753820187,10.046280082750547,0.4788598312220396,7.262517643361734e-4,0.45268146717155944,0.008740085124083342,0.006717118517425692,0.0019265351146619935,0.010784215489433736,0.012114186363077381,0.005470273898131515,0.001105486578964837,0.008233038370117907,573.8885193380726,127.82960792352651,12.330395880860749,519.1740843252373,0.06938587064117194,0.047386252568051145,0.02584201051736832,0.1315142758816141
18,202607219,TRUE,0,0,,250,30500,122,122,122,221332.6952190716,17,358.6304669380188,0.28708196721311474,2.0666690455928194,1.3629404733807418,0.02579530579173076,0.10847303530162256,0.156553785140915,0.9551973121020644,-0.0037684059460251955,0.19923810169691505,-0.004345818029768641,-11.758263384022433,-0.17315801215135324,0.12182612238495141,-3.0025783296177635,9.98188653791979,0.46313494408343286,0.01775015904283168,0.31491227980264214,420.8197775676702,1064.3231308030313,3340.835799697091,252.42045104763156,211.3116604613339,744.3253793901072,3502.070574293014,263.4640205948678,0.057133277916668786,0.037117165399574256,0.703885634416744,,30.74641639011591,54.227960052827896,99.37063790728804,16.20990445264166
19,202607220,TRUE,0,0,,250,30500,122,122,122,221177.98081939766,22,383.17408514022827,0.28760655737704915,2.0667515099584004,1.377125221388055,0.0019030868552995881,0.1134158835390647,0.16614817409365515,0.9595705873480759,-0.0034623129886823985,0.1981302619412988,0.013871132417905073,-54.999250864177576,6.141477024548731,0.3005503412904481,6.061322200670918,10.00515748902753,0.5607605484400164,0.008051332670925134,0.12375127614943873,0.008635743520398956,0.006600934150479057,0.0019040746451381887,0.010893349436496967,0.012292364800964793,0.005638529582505272,0.0011315458717777857,0.00813956680167382,,,,,0.06924619569775256,0.0475165217750245,0.02582375694275576,0.12933101849315093
20,202607221,TRUE,0,0,,250,30500,122,122,122,221459.39461059173,27,469.91396284103394,0.28491803278688527,2.066988233207682,1.3828458134896071,0.011197171970016307,0.11136307957950482,0.1601168076236151,0.9430513944004719,0.0035203029629767763,0.19652282176943314,0.010462107285795576,-251.14335223369247,26.21631069772957,-2.016978331211774,173.5051464774534,10.055791133646874,0.5066392388044598,0.023558475197652983,0.4292599689203713,0.008732763695132694,0.006838315373248531,0.001957539897812273,0.01070827212736015,0.01257311276230747,0.005920221907107909,0.0011827510148174488,0.008380304343728828,146.29169615973424,11.017027382049788,0.9591262014174804,138.7266451337691,0.06897794092911896,0.046471536375862314,0.025538718874248016,0.13191607351935034
21,202607222,TRUE,0,0,,250,30500,122,122,122,221419.59434537092,115,1265.3560440540314,0.2798032786885246,2.0669369993255864,1.0790145079988291,0.1440200454129162,0.09333987579104044,0.1799970633491028,0.9044885839676731,0.0017299497549543826,0.20025584745399716,0.00119378399228947,0.729657989054147,-0.16096889743910855,0.08644657748946065,0.16673376476183868,9.981065701665056,0.5572189847750869,-0.047325130959747504,0.22827123900694626,0.026943809962812502,0.021978814031402685,0.004129467931923016,0.021344378647765987,0.013957800642469723,0.006286082359830431,0.001232704368567395,0.00856406526286981,0.036773055277475895,0.02534018392817112,0.015220269698571981,0.16712771065635765,0.062218457588299074,0.04850674933003866,0.02587261316754292,0.13704422459239396
22,202607223,TRUE,0,0,,250,30500,122,122,122,221228.63317151312,28,496.20628809928894,0.2821311475409836,2.0669531799036274,1.3832378246950288,0.01023892128366115,0.1116300149147629,0.14714936450676747,0.944456788337988,0.007348972021024249,0.19658742158293815,0.010338626642931411,-50.990742420086185,16.793998852543613,-1.2031415664367584,0.6499822030411083,10.014492633210867,0.5255749566376172,-0.04100900053115098,0.1571731435720558,0.008584640280095474,0.006405573346056336,0.0018796135742687248,0.010846645632127857,0.012396799286986214,0.0055798880216878215,0.0011520188308151652,0.00824353394408307,15.851529279088627,5.715563025263329,0.5274960285069114,0.8032434519514317,0.06956120138065722,0.0465366975325338,0.025699129755133027,0.12942149563592087
23,202607224,TRUE,0,0,,250,30500,122,122,122,220894.1328969034,34,474.8131511211395,0.2842295081967213,2.066911712113961,1.3704473713019807,0.016659547930082907,0.10885397588665997,0.18077712104153615,0.9721552092899964,-0.005228094143975691,0.19865167399536215,0.0042728414737262296,-311.181939740815,-1.7180336914145455,8.285702036302034,-143.5284764861685,10.098714411956985,0.5247129425809098,-0.02749355516396296,0.3969940300187002,420.570726631965,1057.6652041945283,3320.484754061491,250.61167307168458,211.8696250189801,742.4231085631527,3514.173537488988,259.77827335792165,2.291256346213118,14.487895799764225,91.34800497210965,,30.51214835680548,54.26652473159037,98.1342647249462,16.138051804794152
24,202607225,TRUE,0,0,,250,30500,122,122,122,221809.98964865538,35,531.2970099449158,0.2817377049180328,2.0667750473932,1.0741659078991614,0.10291937754936355,0.10321586881699028,0.16897255131759278,0.9355312659091475,-0.01635290450867895,0.20188649688284677,0.013222978850992472,0.7652729975016017,-0.0669447404886303,0.07099062236212907,0.2349231799446239,10.029943868448797,0.5017529990830044,0.05236241047318887,0.0023814598629570746,0.025817133637223173,0.019335784299239166,0.0038926805893363054,0.02137868614746424,0.013531464792587539,0.005566701856032961,0.001150701117664107,0.00845646026174615,0.034111509422764856,0.022840006317597424,0.013020506959522215,0.10318084437612363,0.06345099720195628,0.04905417563566753,0.02612564708565709,0.13685263071306233
25,202607226,TRUE,0,0,,250,30500,122,122,122,221653.28217176747,75,819.8845868110657,0.2854098360655738,2.0668940738529424,1.0824480750568861,0.11042075086591045,0.09700232455814704,0.21771566865681163,0.9153641917184552,-0.004130711295299935,0.20130028226508234,-0.012074381044285909,0.7421423146370829,-0.05849999607057772,0.08946335888272786,-0.0574912910967021,10.02696477044046,0.46480297269457654,0.0060232369172345075,0.40011634616430103,0.026164575093329107,0.02038815607946815,0.003950868406529766,0.024972871730614923,0.013791823627463489,0.005680073761623288,0.0011852683210395935,0.00855085870341519,0.03442558582552063,0.02216263722266403,0.011161267720935324,0.13154107642394106,0.0634362445067782,0.04826630086920629,0.025920912420076728,0.13652525915660993
26,202607227,TRUE,0,0,,250,30500,122,122,122,221568.9572863922,33,433.01814818382263,0.2803934426229508,2.066957418754449,1.3740040246358693,0.004665644024076609,0.11394391229689672,0.16249914892120032,0.9659265152118203,0.0012005771535550846,0.19760234084237616,0.011399393103813805,-178.39763787482823,70.71860716542105,-6.843846387803501,-0.4473883472346977,10.048660660733777,0.48935980332705464,-0.03526885710739048,0.16069262446420096,0.008652012066132841,0.006562490872175302,0.001908879331305447,0.010887904403914257,0.012263825229118338,0.0056561127649900735,0.0011410955797293968,0.008032853873636872,71.60455776111512,28.22011274637066,2.798640556784682,0.8457291190945582,0.06919508534486386,0.04703532950370283,0.02599242584416492,0.13321436401125766
27,202607228,TRUE,0,0,,250,30500,122,122,122,220934.99272602872,117,1285.1107981204987,0.28265573770491803,2.066836174866118,1.1095488582618394,0.12378252869772095,0.09197487330814116,0.17818422821510344,0.909932180454388,8.707907644236768e-5,0.2000529004123341,0.007628957020933465,0.629633800389773,-0.12281875792410306,0.1148881943186745,-0.013134410838048694,10.041791400188128,0.40947003623684775,0.006034356890127264,0.30932834223116623,0.023894051963454344,0.017824701988885423,0.0036063684988384033,0.021826028565311354,0.0140502940845905,0.006339167837713949,0.0012209962804419707,0.008206204053337933,0.03782203668264693,0.022347000032741083,0.010222408860671267,0.13468343989223877,0.06289874493306767,0.04820393090998399,0.025681409079873943,0.13079391291403455
28,202607229,TRUE,0,0,,250,30500,122,122,122,221287.89526518577,62,872.1015458106995,0.28547540983606556,2.066821962484164,1.1097604249040094,0.08826055310338672,0.10432259911283816,0.20291704290540355,0.9154735085544432,-0.005357310685077942,0.2003574537830203,0.00889416241746294,0.7103693937773886,-0.10197659797824819,0.0823086659930977,0.10886221544840043,10.084258291709082,0.5855314885867129,-0.023599544626348754,0.5191573368092581,0.024411353487365554,0.018983081539752217,0.003723646325896175,0.02220540580623156,0.013759048453581781,0.00614796990060124,0.001236173062629873,0.00869157742329245,0.03694753777484137,0.02553526323006413,0.014162716438812189,0.142323990198007,0.06367498637042464,0.048637177101470565,0.026143249191033568,0.1365420662547898
29,202607230,TRUE,0,0,,250,30500,122,122,122,221514.25885681043,7,316.77358508110046,0.28314754098360656,2.0666839725996096,1.3674224866943,0.019242642595133874,0.11125647229014204,0.16458778364884197,0.9469752376890374,0.005900945211817358,0.19848819400296025,0.005665565373532252,-16.57849315428437,-0.5364543285910827,0.4844323788666528,-11.797579328255281,9.908298809825597,0.4194219685095852,0.016265569079372752,0.1133466570854264,421.3579928815205,1061.4970874376922,3331.5639959368896,250.73583818362067,210.9791341711651,744.7618400042637,3511.4875938178916,258.74690541429885,0.02922051079062274,1.2185996971389779,1.4533392033169064,,30.554380592955493,54.69730684798665,97.91172804618195,16.0589008457203
30,202607231,TRUE,0,0,,250,30500,122,122,122,221808.85031950715,82,1020.8575258255005,0.2859344262295082,2.0668553413787625,1.3812999406715782,0.023108518370877816,0.1087015013217621,0.1571453051071525,0.9588352286845963,-0.009156552397760954,0.1991237525171023,0.0061912413101878495,-19.63384730438213,2.6073050120175165,0.10792489549944649,7.047153114699086,10.103246598191575,0.4656590166712277,0.004196444351345202,0.38342512553765223,0.00874466613298476,0.006627258202095143,0.0019165813521919283,0.010747001235488721,0.012272714875064645,0.005484993476196969,0.0011138141006941677,0.008354727071874499,11.857271958158558,3.538044877410126,0.35116108964758097,17.718768619498157,0.0693901922789043,0.047249629725884555,0.02586798432345737,0.1371447047866122
31,202607232,TRUE,0,0,,250,30500,122,122,122,221042.68016359705,61,834.945032119751,0.2820983606557377,2.0667333693186265,1.0588895595777037,0.10682948948628056,0.09682649102810485,0.2120816155902377,0.912281124736031,0.006404095387890577,0.19831363225860074,0.003979545645930975,0.7326586458055814,-0.10680658771553359,0.11279610462488687,-0.001062138234921311,9.952019432435637,0.5363324315159143,-0.03932372502211155,0.294450562519631,0.026862614819191086,0.019363271296113174,0.004063913833186649,0.026661207370381218,0.014224734815136848,0.006821685727138256,0.0013238357285748268,0.008493916616690892,0.03379815574657753,0.019197990196117065,0.010765646969532774,0.10739602038624398,0.06282328181761075,0.04842277900997497,0.025635581821017498,0.13286292479143677
32,202607233,TRUE,0,0,,250,30500,122,122,122,221213.51775474957,61,830.0953080654144,0.2824590163934426,2.0668686193113293,1.0828019527920945,0.09682266870586419,0.09907607720655168,0.20199075881790984,0.9120136091800911,-0.0011570949572389478,0.19977455360032317,0.007573413822569861,0.706917002174147,-0.0903077412487084,0.11130377962411979,0.03735041001044671,9.980076971942951,0.4685441088976854,0.027582735056723068,0.3528135150119968,0.025604016786342363,0.01871404282737555,0.004289360217702224,0.025464601015724092,0.014154608684932289,0.006596233908358525,0.0013008873776071926,0.008441299679118835,0.03616878691477547,0.02063754253286654,0.011999627463012176,0.09843174516276221,0.06332554450128851,0.04861200362116419,0.026106869448731956,0.13493293314265414
33,202607234,TRUE,0,0,,250,30500,122,122,122,221542.38373664996,40,469.4753460884094,0.28301639344262297,2.0669160354236586,1.3755856455014048,0.018400820866327862,0.10976551390819408,0.16290563393633434,0.9348911311031503,-0.0014743460480817609,0.19939568542979727,-0.002279349509497812,-221.8917465105866,80.59443877002626,-7.287591832526965,4.439199971007608,9.946634883697438,0.4979923045740218,-0.012444476337479965,0.2326705120969217,0.008670609709322739,0.006618523474234003,0.0019012106715071025,0.010693161041949265,0.012335045593310005,0.005543404983517822,0.0011357326250638828,0.00843707080311572,,,,,0.06848010300761814,0.04646220849201947,0.02516734076548303,0.12779813207311544
