replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,g_a_1,b_cn_0,b_cn_1,g_cn_1,b_e_0,b_e_1,g_e_1,mean_y,b_mean_1,g_mean_1,se_b_a_0,se_b_a_1,se_g_a_1,se_b_cn_0,se_b_cn_1,se_g_cn_1,se_b_e_0,se_b_e_1,se_g_e_1,se_mean_y,se_b_mean_1,se_g_mean_1
39,2026072050,TRUE,0,0,,50,6100,122,122,122,32902.996349589674,26,73.95951700210571,0.28508196721311474,2.0678178434414196,1.0423333547321179,0.03500728205015382,-0.048060285960486705,0.8536413104091755,0.007375706686852489,-0.04205478806752874,0.7547804737452776,-0.04569725297496384,0.06531862153430879,1.9540231080805095,-0.027487421722786516,-0.1310010163161112,0.05109963242924253,0.017076973841911675,0.06654112924567628,0.04628644443467998,0.018620964922081297,0.06606390070020968,0.05481631116844687,0.02418028120795739,0.10267338271218539,0.12241902503830061,0.03550275731214835,0.1014717643847061
40,2026072051,TRUE,0,0,,50,6100,122,122,122,33158.28408602639,25,72.54799818992615,0.2860655737704918,2.0678600233772917,1.1271070704476127,0.0014449670274425805,0.009559916624279012,0.9366630107590918,-0.020289963824658138,0.0600446506749223,0.664502832012423,0.00871803888078503,-0.03912165632011181,2.0020075476473917,0.02112127619770839,0.11195607557161812,0.04975062647861988,0.019550829745663117,0.06716387661378094,0.043692276677971556,0.01886927180032291,0.06170659242239293,0.07483824291946375,0.030178892082275272,0.10911448848992306,0.12932575137076205,0.035726615232239634,0.10410561390578785
41,2026072052,TRUE,0,0,,50,6100,122,122,122,32962.45207605772,26,74.03707790374756,0.28950819672131145,2.0667175062924796,1.0620536646551686,0.025866738082103765,0.0968322770563576,0.8943065393587966,0.017901104337333395,-0.03530497063926353,0.7757648046749349,-0.05498133723974601,-0.3145354883828821,2.1470780599398354,-0.008153310609532597,-0.09096326164138893,0.04874356760438807,0.01613110161117084,0.0546406152653983,0.046437856160706635,0.018209359184971907,0.0549982146096271,0.05299705046043274,0.023656639460145033,0.19868855069912947,0.12526151713007724,0.0362048560473488,0.10115316592722205
42,2026072053,TRUE,0,0,,50,6100,122,122,122,33102.09707569373,23,70.35876393318176,0.2816393442622951,2.068697124089355,1.1508872066061482,8.241208007721189e-4,-0.04255763514682091,0.7622597210955846,0.04620311613152294,0.028325671359497605,0.7100615443944043,-0.019109108499166902,0.03851636371667884,2.01450574021111,-0.038705737182126033,0.031977399747663525,0.04194343032657973,0.017161246352709266,0.05993091317100317,0.054510228861327156,0.021497715868560682,0.05729574531267012,0.06225322601867102,0.027266187397227845,0.09567767322907603,0.12721763169205277,0.03503685351844941,0.1027889767642876
43,2026072054,TRUE,0,0,,50,6100,122,122,122,33107.848835284545,29,77.88078999519348,0.2940983606557377,2.0668497934674783,1.1815081963355845,0.007007910981429345,-0.08866629091502577,0.9723840343306449,-0.04303756078215512,0.10003219189033437,0.5248808887723354,0.03199050963917565,-0.00572360141548417,1.9522361217509463,-0.020889456746772745,0.05137907548905603,0.047938120656783274,0.02049717542681923,0.058626934796356396,0.04184966092230305,0.019264472348866208,0.056332704298710255,0.09958394552270879,0.04124923439522514,0.10844729837387464,0.13251454472128496,0.03580226935047306,0.10340904221027665
44,2026072055,TRUE,0,0,,50,6100,122,122,122,33052.684567994635,30,78.77200198173523,0.28262295081967215,2.0675437830830408,1.1688015826690492,0.014415840564021658,-0.03581940285210509,0.9369652835168084,-0.007563794039095966,-0.033862737178239934,0.6108067582293921,-0.025591392950042584,-0.019499331765015927,1.7609269507338676,-0.012166165459723753,0.13651232654587733,0.04437409547918692,0.01683971051314304,0.0610236656387185,0.04460515488675199,0.018865406549541025,0.060866526184500704,0.07894731517050989,0.036164010389423795,0.14402771199828063,0.1309055134730749,0.03552066904347443,0.10092454261205107
45,2026072056,TRUE,0,0,,50,6100,122,122,122,33094.55455631011,25,73.22003293037415,0.29032786885245904,2.0668537783870153,1.0456603144370005,0.020677753373724145,0.04796202012863097,0.8396927009085182,0.0116635793808668,0.0460309551485567,0.7813116034386097,-0.01096569210945169,-0.15355010048286616,1.8629559386144194,0.06136494741668182,-0.08734177779376787,0.053043572542047036,0.020537798434310722,0.06450049971146582,0.04947941493957508,0.020199264495992904,0.0608858242726627,0.057262695796918166,0.024702356306529425,0.11449254353639768,0.12253294708622747,0.03562568216857357,0.10375810649095564
46,2026072057,TRUE,0,0,,50,6100,122,122,122,33111.17325665693,25,52.834725856781006,0.28098360655737703,2.0689682344775067,1.1020895593451763,-0.02006161379229076,0.025264213808835957,0.8973314362519608,0.0095039167569037,0.019265109316967656,0.7314292030178167,0.017871948459433924,-0.09589726994379325,1.983864901971331,0.007857194420085284,-0.13833886828795672,0.048318247704060124,0.019833225697776333,0.06613903899380055,0.046721046394246464,0.020053502998957744,0.0562742517109293,0.062174320992677244,0.023311000377157366,0.08711108854915031,0.12864823276786488,0.03621271907767057,0.10296187941819504
47,2026072058,TRUE,0,0,,50,6100,122,122,122,32929.69737064889,27,76.58285093307495,0.2831147540983607,2.069585118161179,1.1801272647668473,-0.021231321437956484,-0.01600794134509153,0.9127532611712047,0.004935321164684175,-0.06429316120003152,0.5659290635037308,0.03475281849463908,-0.060108361739158324,2.015901541580997,-0.023095473374394593,-0.06820430023915659,0.04613786962268455,0.02228619815905895,0.057289886002550236,0.04567776206678517,0.0201344381814067,0.056494282257273466,0.09519462589627163,0.04049719121230605,0.09820841383878348,0.1318518806437371,0.035880966358283715,0.10010580437400692
48,2026072059,TRUE,0,0,,50,6100,122,122,122,32950.100113045046,23,69.22977995872498,0.28885245901639345,2.0672026734335,1.056579145026461,0.0010727091464830239,0.012890878192724298,0.9416266340897376,-0.004156559845102103,0.03133521006637393,0.6783994471206013,0.01477478852861429,-0.022076687440079915,1.9918351087509978,-0.009303436684466797,0.08588397774255964,0.0528892746634568,0.022951036808712477,0.07078899726168596,0.04016203743553714,0.016957187904971697,0.05581309432313462,0.06767655198404023,0.028864739557941718,0.09260487339202639,0.1247115217248677,0.03516683923261943,0.10209416794618989
49,2026072060,TRUE,0,0,,50,6100,122,122,122,33250.56418679258,27,73.69371795654297,0.2778688524590164,2.066899965756329,1.1415705007499195,-0.02082804189971392,0.053212739345141515,0.9126896097394152,0.0011513419532277157,0.02919932833321867,0.6678671677679232,0.034361123733087535,-0.09118707650285125,2.03223397461606,0.0060364242073580295,0.03584455287983887,0.04825404783181278,0.020000928745528872,0.06806983265469353,0.04549592849491299,0.01907357012229774,0.05873808338909892,0.07398452475020192,0.02720047884924855,0.09833269951800429,0.13060993290283773,0.03644902113477463,0.1057938794689911
50,2026072061,TRUE,0,0,,50,6100,122,122,122,33063.78967256426,27,75.23661804199219,0.2862295081967213,2.066716791432873,1.057472180778229,0.02962805555255422,-0.0616046253435753,0.9462492774725344,-0.011788428432876637,-0.010191360259640703,0.6709129175456556,-0.006138059413229244,0.09184529366583992,1.947095299036206,-0.06084753893367822,0.072784260845889,0.05774602152386267,0.02825271197959611,0.07453085147463602,0.04318517760623745,0.01993315404487177,0.05998862497392261,0.07459294294033289,0.04124037526851115,0.11135935434727122,0.12449181404395504,0.035985286528190226,0.10399739570708778
51,2026072062,TRUE,0,0,,50,6100,122,122,122,32873.13566247536,25,73.328439950943,0.28672131147540986,2.0672194987423156,1.124834060086365,-0.010474792973163756,-0.02069481999759179,0.8771789819141662,0.0060687529164158245,0.026322815048963687,0.5585890126038449,0.03900366456132781,0.06657441057155855,2.056062572048922,-0.049822251633211044,-0.00984934382724673,0.04442914924028972,0.018814833344784485,0.06605665329828357,0.043391760240815105,0.018724728497852377,0.05671515887004554,0.07964145692314335,0.02998995283433019,0.0884331678659772,0.12567736165796228,0.03471886157050528,0.10218384176561447
52,2026072063,TRUE,0,0,,50,6100,122,122,122,32877.84837780494,27,75.58143782615662,0.2883606557377049,2.067117219688559,1.051632561057459,0.01943890826040212,0.01562022366824165,0.8804635262159701,-0.0040712925715384015,0.054986050226129436,0.6937643886918835,0.0016293181414082725,-0.09737623946817212,2.0299508033772824,0.05917193228156718,-0.07717068750178184,0.05826514104552637,0.024216753042038356,0.06122578405176241,0.048287036962935334,0.02123445105780061,0.05697930196233516,0.07169368460786121,0.031147231252465112,0.10714027967727204,0.1225056360330413,0.034798361232071036,0.10209318693173046
53,2026072064,TRUE,0,0,,50,6100,122,122,122,32751.90100588898,26,73.49315190315247,0.2949180327868852,2.069125174851661,1.0001329373591439,0.03627988987534597,-0.033974460883886476,0.9334427669161065,-0.010895656062456363,-0.013055509749925169,0.7240116064753387,-0.035426149394765565,0.05014871526444606,1.9282979076943665,0.03172376402304704,-0.09812427483898646,0.057202129308860976,0.022126041724216217,0.06319258975063768,0.04251734844713595,0.018503064335974963,0.05674702205937755,0.060724564470878366,0.03038076629663479,0.0967717024973917,0.12157226795680681,0.036192133972752005,0.1003084665293514
